Index,Location pt 1,Couples OK?,Smoking OK?,Pets OK?,Occupation,DSS,References?,Gender,Min age,Max age,Vegetarian,area
1,worcestershire,No,No,No,Professional,No,Yes,Males or females,24,40,,birmingham
2,worcestershire,No,No,No,Professional,No,No,Males or females,21,50,,birmingham
3,worcestershire,No,Yes,No,Professional,No,Yes,Males or females,18,65,,birmingham
4,worcestershire,No,Yes,No,Professional,No,Yes,Males or females,25,65,,birmingham
5,worcestershire,No,Yes,No,Professional,No,Yes,Males or females,20,55,,birmingham
6,worcestershire,No,No,No,Professional,No,Yes,Males or females,23,43,,birmingham
7,worcestershire,No,Yes,No,Professional,No,Yes,Males or females,25,45,Yes,birmingham
8,worcestershire,No,Yes,No,Professional,No,Yes,Males or females,22,39,Yes,birmingham
9,worcestershire,No,No,No,Don't mind,No,Yes,Males or females,25,35,Yes,birmingham
10,worcestershire,No,No,No,Don't mind,No,Yes,Males or females,18,35,Yes,birmingham
11,worcestershire,Yes,Yes,No,Don't mind,No,No,Males or females,16,65,Yes,birmingham
12,worcestershire,Yes,Yes,No,Professional,No,Yes,Males or females,16,65,Yes,birmingham
13,worcestershire,No,Yes,No,Professional,No,No,Males or females,25,60,Yes,birmingham
14,worcestershire,Yes,No,No,Professional,No,Yes,Males or females,21,99,Yes,birmingham
15,worcestershire,No,Yes,No,Don't mind,No,Yes,Males or females,21,45,Yes,birmingham
16,worcestershire,No,No,No,Professional,No,Yes,Males or females,18,35,Yes,birmingham
17,worcestershire,No,Yes,No,Don't mind,No,Yes,Males or females,25,65,Yes,birmingham
18,worcestershire,No,No,No,Professional,No,No,Female preferred,16,65,Yes,birmingham
19,worcestershire,No,No,Yes,Professional,No,Yes,Female preferred,24,65,Yes,birmingham
20,worcestershire,No,Yes,No,Don't mind,No,Yes,"Male
          preferred",19,45,Yes,birmingham
21,worcestershire,Yes,Yes,No,Don't mind,No,No,Males or females,35,65,Yes,birmingham
22,worcestershire,No,Yes,No,Don't mind,No,Yes,Males or females,25,45,Yes,birmingham
